Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0.00126,963,469,463,500,969,1000,1000,37,31
0.001265,962,469,462,500,969,1000,1000,38,31
0.00127,962,469,462,500,969,1000,1000,38,31
0.001275,962,469,462,500,969,1000,1000,38,31
0.00128,962,469,462,500,969,1000,1000,38,31
0.001285,962,468,462,500,968,1000,1000,38,32
0.00129,962,468,462,500,968,1000,1000,38,32
0.001295,962,468,462,500,968,1000,1000,38,32
0.0013,962,468,462,500,968,1000,1000,38,32
0.001305,962,468,462,500,968,1000,1000,38,32
0.00131,962,468,462,500,968,1000,1000,38,32
0.001315,962,467,462,500,967,1000,1000,38,33
0.00132,962,467,462,500,967,1000,1000,38,33
0.001325,962,466,462,500,966,1000,1000,38,34
0.00133,961,466,461,500,966,1000,1000,39,34
0.001335,960,466,460,500,966,1000,1000,40,34
0.00134,960,466,460,500,966,1000,1000,40,34
0.001345,960,466,460,500,966,1000,1000,40,34
0.00135,958,466,458,500,966,1000,1000,42,34
0.001355,958,465,458,500,965,1000,1000,42,35
0.00136,958,465,458,500,965,1000,1000,42,35
0.001365,958,465,458,500,965,1000,1000,42,35
0.00137,958,465,458,500,965,1000,1000,42,35
0.001375,958,465,458,500,965,1000,1000,42,35
0.00138,958,465,458,500,965,1000,1000,42,35
0.001385,958,465,458,500,965,1000,1000,42,35
0.00139,958,465,458,500,965,1000,1000,42,35
0.001395,958,465,458,500,965,1000,1000,42,35
0.0014,958,465,458,500,965,1000,1000,42,35
0.001405,958,465,458,500,965,1000,1000,42,35
0.00141,958,465,458,500,965,1000,1000,42,35
0.001415,957,465,457,500,965,1000,1000,43,35
0.00142,957,465,457,500,965,1000,1000,43,35
0.001425,957,465,457,500,965,1000,1000,43,35
0.00143,957,464,457,500,964,1000,1000,43,36
0.001435,957,464,457,500,964,1000,1000,43,36
0.00144,957,464,457,500,964,1000,1000,43,36
0.001445,957,464,457,500,964,1000,1000,43,36
0.00145,957,463,457,500,963,1000,1000,43,37
0.001455,957,463,457,500,963,1000,1000,43,37
0.00146,957,462,457,500,962,1000,1000,43,38
0.001465,957,462,457,500,962,1000,1000,43,38
0.00147,957,461,457,500,961,1000,1000,43,39
0.001475,957,461,457,500,961,1000,1000,43,39
0.00148,956,461,456,500,961,1000,1000,44,39
0.001485,956,461,456,500,961,1000,1000,44,39
0.00149,956,461,456,500,961,1000,1000,44,39
0.001495,956,461,456,500,961,1000,1000,44,39
0.0015,956,461,456,500,961,1000,1000,44,39
0.001505,955,461,455,500,961,1000,1000,45,39
0.00151,955,461,455,500,961,1000,1000,45,39
0.001515,954,461,454,500,961,1000,1000,46,39
0.00152,954,461,454,500,961,1000,1000,46,39
0.001525,954,461,454,500,961,1000,1000,46,39
0.00153,954,461,454,500,961,1000,1000,46,39
0.001535,954,461,454,500,961,1000,1000,46,39
0.00154,953,460,453,500,960,1000,1000,47,40
0.001545,953,460,453,500,960,1000,1000,47,40
0.00155,953,460,453,500,960,1000,1000,47,40
0.001555,953,460,453,500,960,1000,1000,47,40
0.00156,953,460,453,500,960,1000,1000,47,40
0.001565,952,460,452,500,960,1000,1000,48,40
0.00157,952,460,452,500,960,1000,1000,48,40
0.001575,952,460,452,500,960,1000,1000,48,40
0.00158,952,460,452,500,960,1000,1000,48,40
0.001585,952,459,452,500,959,1000,1000,48,41
0.00159,952,459,452,500,959,1000,1000,48,41
0.001595,952,459,452,500,959,1000,1000,48,41
0.0016,951,458,451,500,958,1000,1000,49,42
0.001605,951,458,451,500,958,1000,1000,49,42
0.00161,951,458,451,500,958,1000,1000,49,42
0.001615,951,457,451,500,957,1000,1000,49,43
0.00162,951,457,451,500,957,1000,1000,49,43
0.001625,951,457,451,500,957,1000,1000,49,43
0.00163,951,457,451,500,957,1000,1000,49,43
