TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.0025	34	17	0	0	0	0	0	0	0	51
0.00251	34	17	0	0	0	0	0	0	0	51
0.00252	34	17	0	0	0	0	0	0	0	51
0.00253	34	17	0	0	0	0	0	0	0	51
0.00254	34	17	0	0	0	0	0	0	0	51
0.00255	34	17	0	0	0	0	0	0	0	51
0.00256	34	17	0	0	0	0	0	0	0	51
0.00257	34	18	0	0	0	0	0	0	0	52
0.00258	35	18	0	0	0	0	0	0	0	53
0.00259	35	18	0	0	0	0	0	0	0	53
0.0026	35	18	0	0	0	0	0	0	0	53
0.00261	35	19	0	0	0	0	0	0	0	54
0.00262	35	19	0	0	0	0	0	0	0	54
0.00263	35	19	0	0	0	0	0	0	0	54
0.00264	35	19	0	0	0	0	0	0	0	54
0.00265	36	19	0	0	0	0	0	0	0	55
0.00266	36	19	0	0	0	0	0	0	0	55
0.00267	36	19	0	0	0	0	0	0	0	55
0.00268	36	19	0	0	0	0	0	0	0	55
0.00269	36	19	0	0	0	0	0	0	0	55
0.0027	36	19	0	0	0	0	0	0	0	55
0.00271	36	19	0	0	0	0	0	0	0	55
0.00272	37	19	0	0	0	0	0	0	0	56
0.00273	37	19	0	0	0	0	0	0	0	56
0.00274	37	19	0	0	0	0	0	0	0	56
0.00275	37	19	0	0	0	0	0	0	0	56
0.00276	37	19	0	0	0	0	0	0	0	56
0.00277	37	19	0	0	0	0	0	0	0	56
0.00278	37	19	0	0	0	0	0	0	0	56
0.00279	37	19	0	0	0	0	0	0	0	56
0.0028	37	19	0	0	0	0	0	0	0	56
0.00281	37	19	0	0	0	0	0	0	0	56
0.00282	37	19	0	0	0	0	0	0	0	56
0.00283	37	19	0	0	0	0	0	0	0	56
0.00284	37	19	0	0	0	0	0	0	0	56
0.00285	37	19	0	0	0	0	0	0	0	56
0.00286	37	19	0	0	0	0	0	0	0	56
0.00287	37	19	0	0	0	0	0	0	0	56
0.00288	37	19	0	0	0	0	0	0	0	56
0.00289	37	19	0	0	0	0	0	0	0	56
0.0029	37	19	0	0	0	0	0	0	0	56
0.00291	37	19	0	0	0	0	0	0	0	56
0.00292	37	19	0	0	0	0	0	0	0	56
0.00293	37	19	0	0	0	0	0	0	0	56
0.00294	37	19	0	0	0	0	0	0	0	56
0.00295	37	19	0	0	0	0	0	0	0	56
0.00296	37	19	0	0	0	0	0	0	0	56
0.00297	37	19	0	0	0	0	0	0	0	56
0.00298	37	19	0	0	0	0	0	0	0	56
0.00299	37	20	0	0	0	0	0	0	0	57
0.003	37	20	0	0	0	0	0	0	0	57
0.00301	37	20	0	0	0	0	0	0	0	57
0.00302	37	20	0	0	0	0	0	0	0	57
0.00303	38	20	0	0	0	0	0	0	0	58
0.00304	38	20	0	0	0	0	0	0	0	58
0.00305	38	20	0	0	0	0	0	0	0	58
0.00306	38	20	0	0	0	0	0	0	0	58
0.00307	38	20	0	0	0	0	0	0	0	58
0.00308	38	20	0	0	0	0	0	0	0	58
0.00309	38	20	0	0	0	0	0	0	0	58
0.0031	38	20	0	0	0	0	0	0	0	58
0.00311	38	20	0	0	0	0	0	0	0	58
0.00312	38	20	0	0	0	0	0	0	0	58
0.00313	38	20	0	0	0	0	0	0	0	58
0.00314	38	20	0	0	0	0	0	0	0	58
0.00315	38	20	0	0	0	0	0	0	0	58
0.00316	38	20	0	0	0	0	0	0	0	58
0.00317	38	20	0	0	0	0	0	0	0	58
0.00318	38	20	0	0	0	0	0	0	0	58
0.00319	38	20	0	0	0	0	0	0	0	58
0.0032	38	20	0	0	0	0	0	0	0	58
0.00321	38	20	0	0	0	0	0	0	0	58
