TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00162	58	0	55	0	0	0	0	0	0	0	165
0.00163	58	0	55	0	0	0	0	0	0	0	165
0.00164	58	0	55	0	0	0	0	0	0	0	165
0.00165	58	0	56	0	0	0	0	0	0	0	166
0.00166	58	0	56	0	0	0	0	0	0	0	166
0.00167	58	0	55	0	0	0	0	0	0	0	167
0.00168	58	0	54	0	0	0	0	0	0	0	167
0.00169	59	0	53	0	0	0	0	0	0	0	168
0.0017	60	0	52	0	0	0	0	0	0	0	169
0.00171	61	0	52	0	0	0	0	0	0	0	171
0.00172	62	0	54	0	0	0	0	0	0	0	174
0.00173	62	0	55	0	0	0	0	0	0	0	175
0.00174	62	0	54	0	0	0	0	0	0	0	175
0.00175	62	0	54	0	0	0	0	0	0	0	175
0.00176	61	0	55	0	0	0	0	0	0	0	177
0.00177	62	0	56	0	0	0	0	0	0	0	179
0.00178	63	0	56	0	0	0	0	0	0	0	180
0.00179	63	0	55	0	0	0	0	0	0	0	180
0.0018	63	0	54	0	0	0	0	0	0	0	180
0.00181	63	0	56	0	0	0	0	0	0	0	182
0.00182	63	0	58	0	0	0	0	0	0	0	184
0.00183	65	0	57	0	0	0	0	0	0	0	186
0.00184	65	0	57	0	0	0	0	0	0	0	186
0.00185	65	0	56	0	0	0	0	0	0	0	188
0.00186	65	0	56	0	0	0	0	0	0	0	191
0.00187	66	0	57	0	0	0	0	0	0	0	193
0.00188	66	0	58	0	0	0	0	0	0	0	194
0.00189	66	0	57	0	0	0	0	0	0	0	194
0.0019	66	0	57	0	0	0	0	0	0	0	195
0.00191	67	0	56	0	0	0	0	0	0	0	196
0.00192	69	0	57	0	0	0	0	0	0	0	199
0.00193	69	0	56	0	0	0	0	0	0	0	199
0.00194	69	0	56	0	0	0	0	0	0	0	199
0.00195	70	0	57	0	0	0	0	0	0	0	201
0.00196	70	0	57	0	0	0	0	0	0	0	202
0.00197	70	0	59	0	0	0	0	0	0	0	204
0.00198	70	0	60	0	0	0	0	0	0	0	205
0.00199	71	0	61	0	0	0	0	0	0	0	208
0.002	71	0	63	0	0	0	0	0	0	0	210
0.00201	71	0	63	0	0	0	0	0	0	0	210
0.00202	71	0	63	0	0	0	0	0	0	0	210
0.00203	70	0	63	0	0	0	0	0	0	0	211
0.00204	70	0	63	0	0	0	0	0	0	0	212
0.00205	70	0	65	0	0	0	0	0	0	0	215
0.00206	70	0	65	0	0	0	0	0	0	0	215
0.00207	71	0	66	0	0	0	0	0	0	0	217
0.00208	71	0	67	0	0	0	0	0	0	0	218
0.00209	71	0	68	0	0	0	0	0	0	0	219
0.0021	72	0	68	0	0	0	0	0	0	0	220
0.00211	73	0	68	0	0	0	0	0	0	0	221
0.00212	74	0	67	0	0	0	0	0	0	0	222
0.00213	75	0	67	0	0	0	0	0	0	0	224
0.00214	75	0	67	0	0	0	0	0	0	0	224
0.00215	77	0	68	0	0	0	0	0	0	0	227
0.00216	77	0	68	0	0	0	0	0	0	0	227
0.00217	77	0	68	0	0	0	0	0	0	0	227
0.00218	77	0	67	0	0	0	0	0	0	0	229
0.00219	77	0	67	0	0	0	0	0	0	0	229
0.0022	77	0	68	0	0	0	0	0	0	0	232
0.00221	77	0	68	0	0	0	0	0	0	0	232
0.00222	77	0	69	0	0	0	0	0	0	0	233
0.00223	78	0	67	0	0	0	0	0	0	0	234
0.00224	79	0	68	0	0	0	0	0	0	0	236
0.00225	80	0	70	0	0	0	0	0	0	0	240
0.00226	81	0	71	0	0	0	0	0	0	0	244
0.00227	81	0	72	0	0	0	0	0	0	0	245
0.00228	82	0	71	0	0	0	0	0	0	0	246
0.00229	82	0	71	0	0	0	0	0	0	0	246
0.0023	82	0	73	0	0	0	0	0	0	0	248
