Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0.0019,999,0,0,1,299,300,300,1,1
0.00191,999,0,0,1,299,300,300,1,1
0.00192,999,0,0,1,299,300,300,1,1
0.00193,999,0,0,1,299,300,300,1,1
0.00194,999,0,0,1,299,300,300,1,1
0.00195,999,0,0,1,299,300,300,1,1
0.00196,999,0,0,1,299,300,300,1,1
0.00197,999,0,0,1,299,300,300,1,1
0.00198,999,0,0,1,299,300,300,1,1
0.00199,999,0,0,1,299,300,300,1,1
0.002,999,0,0,1,299,300,300,1,1
0.00201,999,0,0,1,299,300,300,1,1
0.00202,999,0,0,1,299,300,300,1,1
0.00203,999,0,0,1,299,300,300,1,1
0.00204,999,0,0,1,299,300,300,1,1
0.00205,999,0,0,1,299,300,300,1,1
0.00206,999,0,0,1,299,300,300,1,1
0.00207,999,0,0,1,299,300,300,1,1
0.00208,999,0,0,1,299,300,300,1,1
0.00209,999,0,0,1,299,300,300,1,1
0.0021,999,0,0,1,299,300,300,1,1
0.00211,999,0,0,1,299,300,300,1,1
0.00212,999,0,0,1,299,300,300,1,1
0.00213,999,0,0,1,299,300,300,1,1
0.00214,999,0,0,1,299,300,300,1,1
0.00215,999,0,0,1,299,300,300,1,1
0.00216,999,0,0,1,299,300,300,1,1
0.00217,999,0,0,1,299,300,300,1,1
0.00218,999,0,0,1,299,300,300,1,1
0.00219,999,0,0,1,299,300,300,1,1
0.0022,999,0,0,1,299,300,300,1,1
0.00221,999,0,0,1,299,300,300,1,1
0.00222,999,0,0,1,299,300,300,1,1
0.00223,999,0,0,1,299,300,300,1,1
0.00224,999,0,0,1,299,300,300,1,1
0.00225,999,0,0,1,299,300,300,1,1
0.00226,999,0,0,1,299,300,300,1,1
0.00227,999,0,0,1,299,300,300,1,1
0.00228,999,0,0,1,299,300,300,1,1
0.00229,999,0,0,1,299,300,300,1,1
0.0023,999,0,0,1,299,300,300,1,1
0.00231,999,0,0,1,299,300,300,1,1
0.00232,999,0,0,1,299,300,300,1,1
0.00233,999,0,0,1,299,300,300,1,1
0.00234,999,0,0,1,299,300,300,1,1
0.00235,999,0,0,1,299,300,300,1,1
0.00236,999,0,0,1,299,300,300,1,1
0.00237,999,0,0,1,299,300,300,1,1
0.00238,999,0,0,1,299,300,300,1,1
0.00239,999,0,0,1,299,300,300,1,1
0.0024,999,0,0,1,299,300,300,1,1
0.00241,999,0,0,1,299,300,300,1,1
0.00242,999,0,0,1,299,300,300,1,1
0.00243,999,0,0,1,299,300,300,1,1
0.00244,999,0,0,1,299,300,300,1,1
0.00245,999,0,0,1,299,300,300,1,1
0.00246,999,0,0,1,299,300,300,1,1
0.00247,999,0,0,1,299,300,300,1,1
0.00248,999,0,0,1,299,300,300,1,1
0.00249,999,0,0,1,299,300,300,1,1
0.0025,999,0,0,1,299,300,300,1,1
0.00251,999,0,0,1,299,300,300,1,1
0.00252,999,0,0,1,299,300,300,1,1
0.00253,999,0,0,1,299,300,300,1,1
0.00254,999,0,0,1,299,300,300,1,1
0.00255,999,0,0,1,299,300,300,1,1
0.00256,999,0,0,1,299,300,300,1,1
0.00257,999,0,0,1,299,300,300,1,1
0.00258,999,0,0,1,299,300,300,1,1
0.00259,999,0,0,1,299,300,300,1,1
0.0026,999,0,0,1,299,300,300,1,1
0.00261,999,0,0,1,299,300,300,1,1
0.00262,999,0,0,1,299,300,300,1,1
0.00263,999,0,0,1,299,300,300,1,1
0.00264,999,0,0,1,299,300,300,1,1
0.00265,999,0,0,1,299,300,300,1,1
0.00266,999,0,0,1,299,300,300,1,1
