Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0.00214,914,464,414,500,64,100,100,86,36
0.00215,914,463,414,500,63,100,100,86,37
0.00216,913,463,413,500,63,100,100,87,37
0.00217,913,462,413,500,62,100,100,87,38
0.00218,912,462,412,500,62,100,100,88,38
0.00219,912,462,412,500,62,100,100,88,38
0.0022,912,461,412,500,61,100,100,88,39
0.00221,912,461,412,500,61,100,100,88,39
0.00222,912,460,412,500,60,100,100,88,40
0.00223,912,460,412,500,60,100,100,88,40
0.00224,912,460,412,500,60,100,100,88,40
0.00225,911,460,411,500,60,100,100,89,40
0.00226,911,460,411,500,60,100,100,89,40
0.00227,911,460,411,500,60,100,100,89,40
0.00228,911,459,411,500,59,100,100,89,41
0.00229,910,459,410,500,59,100,100,90,41
0.0023,910,459,410,500,59,100,100,90,41
0.00231,909,459,409,500,59,100,100,91,41
0.00232,909,459,409,500,59,100,100,91,41
0.00233,909,459,409,500,59,100,100,91,41
0.00234,909,459,409,500,59,100,100,91,41
0.00235,909,459,409,500,59,100,100,91,41
0.00236,909,459,409,500,59,100,100,91,41
0.00237,909,458,409,500,58,100,100,91,42
0.00238,909,458,409,500,58,100,100,91,42
0.00239,909,457,409,500,57,100,100,91,43
0.0024,909,457,409,500,57,100,100,91,43
0.00241,909,457,409,500,57,100,100,91,43
0.00242,909,457,409,500,57,100,100,91,43
0.00243,909,457,409,500,57,100,100,91,43
0.00244,908,455,408,500,55,100,100,92,45
0.00245,907,454,407,500,54,100,100,93,46
0.00246,906,454,406,500,54,100,100,94,46
0.00247,906,454,406,500,54,100,100,94,46
0.00248,906,454,406,500,54,100,100,94,46
0.00249,907,453,407,500,53,100,100,93,47
0.0025,907,453,407,500,53,100,100,93,47
0.00251,907,453,407,500,53,100,100,93,47
0.00252,907,453,407,500,53,100,100,93,47
0.00253,906,453,406,500,53,100,100,94,47
0.00254,903,453,403,500,53,100,100,97,47
0.00255,903,453,403,500,53,100,100,97,47
0.00256,903,453,403,500,53,100,100,97,47
0.00257,903,453,403,500,53,100,100,97,47
0.00258,902,453,402,500,53,100,100,98,47
0.00259,902,452,402,500,52,100,100,98,48
0.0026,902,452,402,500,52,100,100,98,48
0.00261,902,452,402,500,52,100,100,98,48
0.00262,900,452,400,500,52,100,100,100,48
0.00263,900,452,400,500,52,100,100,100,48
0.00264,899,452,399,500,52,100,100,101,48
0.00265,899,452,399,500,52,100,100,101,48
0.00266,899,452,399,500,52,100,100,101,48
0.00267,900,452,400,500,52,100,100,100,48
0.00268,899,452,399,500,52,100,100,101,48
0.00269,899,452,399,500,52,100,100,101,48
0.0027,899,452,399,500,52,100,100,101,48
0.00271,899,452,399,500,52,100,100,101,48
0.00272,899,452,399,500,52,100,100,101,48
0.00273,899,452,399,500,52,100,100,101,48
0.00274,899,452,399,500,52,100,100,101,48
0.00275,899,452,399,500,52,100,100,101,48
0.00276,897,452,397,500,52,100,100,103,48
0.00277,897,451,397,500,51,100,100,103,49
0.00278,896,451,396,500,51,100,100,104,49
0.00279,896,451,396,500,51,100,100,104,49
0.0028,896,451,396,500,51,100,100,104,49
0.00281,896,451,396,500,51,100,100,104,49
0.00282,894,451,394,500,51,100,100,106,49
0.00283,894,450,394,500,50,100,100,106,50
0.00284,894,450,394,500,50,100,100,106,50
0.00285,894,450,394,500,50,100,100,106,50
0.00286,894,450,394,500,50,100,100,106,50
0.00287,893,450,393,500,50,100,100,107,50
0.00288,892,450,392,500,50,100,100,108,50
0.00289,891,450,391,500,50,100,100,109,50
0.0029,891,450,391,500,50,100,100,109,50
0.00291,891,450,391,500,50,100,100,109,50
0.00292,891,450,391,500,50,100,100,109,50
0.00293,890,451,390,500,51,100,100,110,49
0.00294,889,451,389,500,51,100,100,111,49
0.00295,889,451,389,500,51,100,100,111,49
0.00296,888,449,388,500,49,100,100,112,51
0.00297,888,449,388,500,49,100,100,112,51
0.00298,888,449,388,500,49,100,100,112,51
0.00299,888,449,388,500,49,100,100,112,51
0.003,888,449,388,500,49,100,100,112,51
0.00301,888,449,388,500,49,100,100,112,51
0.00302,888,449,388,500,49,100,100,112,51
0.00303,887,449,387,500,49,100,100,113,51
0.00304,887,448,387,500,48,100,100,113,52
0.00305,887,447,387,500,47,100,100,113,53
0.00306,887,447,387,500,47,100,100,113,53
0.00307,886,446,386,500,46,100,100,114,54
0.00308,886,446,386,500,46,100,100,114,54
0.00309,885,445,385,500,45,100,100,115,55
0.0031,885,445,385,500,45,100,100,115,55
0.00311,883,445,383,500,45,100,100,117,55
0.00312,882,444,382,500,44,100,100,118,56
0.00313,880,443,380,500,43,100,100,120,57
0.00314,880,441,380,500,41,100,100,120,59
0.00315,879,441,379,500,41,100,100,121,59
0.00316,879,441,379,500,41,100,100,121,59
0.00317,879,441,379,500,41,100,100,121,59
0.00318,879,441,379,500,41,100,100,121,59
0.00319,878,441,378,500,41,100,100,122,59
0.0032,878,441,378,500,41,100,100,122,59
0.00321,878,440,378,500,40,100,100,122,60
0.00322,878,440,378,500,40,100,100,122,60
0.00323,877,440,377,500,40,100,100,123,60
0.00324,877,440,377,500,40,100,100,123,60
0.00325,877,440,377,500,40,100,100,123,60
0.00326,877,440,377,500,40,100,100,123,60
0.00327,877,438,377,500,38,100,100,123,62
0.00328,877,437,377,500,37,100,100,123,63
0.00329,876,437,376,500,37,100,100,124,63
0.0033,876,437,376,500,37,100,100,124,63
0.00331,876,437,376,500,37,100,100,124,63
0.00332,876,437,376,500,37,100,100,124,63
0.00333,876,437,376,500,37,100,100,124,63
0.00334,876,437,376,500,37,100,100,124,63
0.00335,876,437,376,500,37,100,100,124,63
0.00336,876,437,376,500,37,100,100,124,63
0.00337,876,437,376,500,37,100,100,124,63
