TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00301	88	77	0	0	0	0	0	0	0	174
0.00302	88	77	0	0	0	0	0	0	0	174
0.00303	89	77	0	0	0	0	0	0	0	175
0.00304	89	77	0	0	0	0	0	0	0	175
0.00305	89	77	0	0	0	0	0	0	0	175
0.00306	89	77	0	0	0	0	0	0	0	175
0.00307	90	77	0	0	0	0	0	0	0	176
0.00308	90	77	0	0	0	0	0	0	0	176
0.00309	90	77	0	0	0	0	0	0	0	176
0.0031	91	77	0	0	0	0	0	0	0	177
0.00311	91	77	0	0	0	0	0	0	0	177
0.00312	91	78	0	0	0	0	0	0	0	178
0.00313	91	80	0	0	0	0	0	0	0	180
0.00314	91	81	0	0	0	0	0	0	0	181
0.00315	91	81	0	0	0	0	0	0	0	181
0.00316	92	81	0	0	0	0	0	0	0	182
0.00317	92	82	0	0	0	0	0	0	0	183
0.00318	94	82	0	0	0	0	0	0	0	185
0.00319	95	83	0	0	0	0	0	0	0	187
0.0032	95	83	0	0	0	0	0	0	0	187
0.00321	95	83	0	0	0	0	0	0	0	188
0.00322	95	83	0	0	0	0	0	0	0	188
0.00323	95	83	0	0	0	0	0	0	0	188
0.00324	95	84	0	0	0	0	0	0	0	189
0.00325	95	84	0	0	0	0	0	0	0	189
0.00326	95	84	0	0	0	0	0	0	0	189
0.00327	95	84	0	0	0	0	0	0	0	189
0.00328	95	85	0	0	0	0	0	0	0	190
0.00329	95	85	0	0	0	0	0	0	0	190
0.0033	96	85	0	0	0	0	0	0	0	191
0.00331	96	85	0	0	0	0	0	0	0	191
0.00332	96	85	0	0	0	0	0	0	0	191
0.00333	97	85	0	0	0	0	0	0	0	192
0.00334	98	85	0	0	0	0	0	0	0	193
0.00335	98	86	0	0	0	0	0	0	0	194
0.00336	98	87	0	0	0	0	0	0	0	195
0.00337	98	87	0	0	0	0	0	0	0	195
0.00338	98	87	0	0	0	0	0	0	0	195
0.00339	99	88	0	0	0	0	0	0	0	197
0.0034	99	88	0	0	0	0	0	0	0	197
0.00341	99	88	0	0	0	0	0	0	0	197
0.00342	99	88	0	0	0	0	0	0	0	197
0.00343	99	88	0	0	0	0	0	0	0	197
0.00344	99	89	0	0	0	0	0	0	0	198
0.00345	99	89	0	0	0	0	0	0	0	198
0.00346	99	89	0	0	0	0	0	0	0	198
0.00347	100	89	0	0	0	0	0	0	0	199
0.00348	101	89	0	0	0	0	0	0	0	200
0.00349	101	89	0	0	0	0	0	0	0	200
0.0035	101	89	0	0	0	0	0	0	0	200
0.00351	101	89	0	0	0	0	0	0	0	200
0.00352	101	90	0	0	0	0	0	0	0	201
0.00353	101	90	0	0	0	0	0	0	0	201
