Time (s): 0
Time (s): 0.00064
971	pip2: 1. 
483	trans: 1. 
471	ap2: 1. 
17	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00065
969	pip2: 1. 
482	trans: 1. 
469	ap2: 1. 
18	pip2: 1. ap2: 1. trans: 1. 
13	pip2: 1. ap2: 1. 
Time (s): 0.00066
968	pip2: 1. 
482	trans: 1. 
468	ap2: 1. 
18	pip2: 1. ap2: 1. trans: 1. 
14	pip2: 1. ap2: 1. 
Time (s): 0.00067
968	pip2: 1. 
482	trans: 1. 
468	ap2: 1. 
18	pip2: 1. ap2: 1. trans: 1. 
14	pip2: 1. ap2: 1. 
Time (s): 0.00068
968	pip2: 1. 
482	trans: 1. 
468	ap2: 1. 
18	pip2: 1. ap2: 1. trans: 1. 
14	pip2: 1. ap2: 1. 
Time (s): 0.00069
968	pip2: 1. 
481	trans: 1. 
468	ap2: 1. 
19	pip2: 1. ap2: 1. trans: 1. 
13	pip2: 1. ap2: 1. 
Time (s): 0.0007
968	pip2: 1. 
481	trans: 1. 
468	ap2: 1. 
19	pip2: 1. ap2: 1. trans: 1. 
13	pip2: 1. ap2: 1. 
Time (s): 0.00071
967	pip2: 1. 
479	trans: 1. 
467	ap2: 1. 
21	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00072
967	pip2: 1. 
479	trans: 1. 
467	ap2: 1. 
21	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00073
967	pip2: 1. 
479	trans: 1. 
467	ap2: 1. 
21	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00074
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00075
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00076
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00077
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00078
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00079
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.0008
967	pip2: 1. 
478	trans: 1. 
467	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00081
966	pip2: 1. 
478	trans: 1. 
466	ap2: 1. 
22	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00082
966	pip2: 1. 
477	trans: 1. 
466	ap2: 1. 
23	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00083
966	pip2: 1. 
477	trans: 1. 
466	ap2: 1. 
23	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00084
966	pip2: 1. 
476	trans: 1. 
466	ap2: 1. 
24	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00085
966	pip2: 1. 
476	trans: 1. 
466	ap2: 1. 
24	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00086
966	pip2: 1. 
475	trans: 1. 
466	ap2: 1. 
25	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00087
966	pip2: 1. 
475	trans: 1. 
466	ap2: 1. 
25	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00088
965	pip2: 1. 
474	trans: 1. 
465	ap2: 1. 
26	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00089
965	pip2: 1. 
473	trans: 1. 
465	ap2: 1. 
27	pip2: 1. ap2: 1. trans: 1. 
8	pip2: 1. ap2: 1. 
Time (s): 0.0009
964	pip2: 1. 
473	trans: 1. 
464	ap2: 1. 
27	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00091
964	pip2: 1. 
473	trans: 1. 
464	ap2: 1. 
27	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00092
964	pip2: 1. 
473	trans: 1. 
464	ap2: 1. 
27	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00093
964	pip2: 1. 
473	trans: 1. 
464	ap2: 1. 
27	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00094
962	pip2: 1. 
473	trans: 1. 
462	ap2: 1. 
27	pip2: 1. ap2: 1. trans: 1. 
